side,movie_title,emo_types,n_nrc_categories,nrc_entropy
ai,Deadly Dreams,5,5,2.235926350629033
human,Death Wish 3,2,4,1.9709505944546688
ai,Death Wish 3,1,0,0.0
human,Desperation Highway,2,4,2.0
ai,Desperation Highway,2,4,1.9182958340544896
human,Deuces,2,1,-0.0
ai,Deuces,1,4,2.0
human,"Die Sister, Die!",3,2,1.0
ai,"Die Sister, Die!",5,6,2.584962500721156
human,Doctor Zhivago,6,4,1.8423709931771088
ai,Doctor Zhivago,3,6,2.5032583347756456
human,Don't Turn the Other Cheek,1,4,2.0
ai,Don't Turn the Other Cheek,1,0,0.0
human,Donnybrook,5,7,2.7219280948873625
ai,Donnybrook,0,0,0.0
human,Doragon heddo,3,7,2.807354922057604
ai,Doragon heddo,4,1,-0.0
human,Downfall,2,3,1.584962500721156
ai,Downfall,2,1,-0.0
human,Early to Bed,3,1,-0.0
ai,Early to Bed,1,0,0.0
human,El día que me amen,4,3,1.5
ai,El día que me amen,5,2,0.9182958340544896
human,Emmanuelle,10,8,2.8423709931771093
ai,Emmanuelle,3,0,0.0
human,Endless Night (I),12,8,2.9044984515601637
ai,Endless Night (I),6,6,2.469670487371862
human,Eroica,1,0,0.0
ai,Eroica,3,1,-0.0
human,Es fing so harmlos an,5,5,2.321928094887362
ai,Es fing so harmlos an,4,6,2.521640636343318
human,Evilenko,4,1,-0.0
ai,Evilenko,2,2,1.0
human,Fat Pizza,3,3,1.584962500721156
ai,Fat Pizza,1,0,0.0
human,Fishing with Gandhi,5,4,1.8423709931771088
ai,Fishing with Gandhi,2,1,-0.0
human,Fitzcarraldo,3,4,1.8910611120726528
ai,Fitzcarraldo,2,4,2.0
human,"Frank McKlusky, C.I.",6,1,-0.0
ai,"Frank McKlusky, C.I.",3,1,-0.0
human,Freeway,6,8,2.7732698037311407
ai,Freeway,1,1,-0.0
human,From Here to Eternity,2,2,1.0
ai,From Here to Eternity,2,6,2.5216406363433186
human,Fuelin' Around,1,0,0.0
ai,Fuelin' Around,1,1,-0.0
human,Gabrielle,2,0,0.0
ai,Gabrielle,3,1,-0.0
human,Gallipoli,3,1,-0.0
ai,Gallipoli,2,1,-0.0
human,Gambit,4,2,0.9709505944546686
ai,Gambit,2,3,1.584962500721156
human,Gator,1,1,-0.0
ai,Gator,2,0,0.0
human,Get Rich or Die Tryin',2,4,1.9056390622295665
ai,Get Rich or Die Tryin',0,0,0.0
human,Ghost in the Machine,4,5,2.2516291673878226
ai,Ghost in the Machine,5,2,1.0
human,Graveless,1,2,1.0
ai,Graveless,7,4,1.8585552118703144
human,Grimm,5,4,1.5487949406953985
ai,Grimm,5,1,-0.0
human,Gyeolhoneun michinjishida,5,7,2.738011806396905
ai,Gyeolhoneun michinjishida,3,7,2.725480556997868
human,Hail the Conquering Hero,0,0,0.0
ai,Hail the Conquering Hero,2,0,0.0
human,Hamlet,3,1,-0.0
ai,Hamlet,2,3,1.584962500721156
human,Harlan County U.S.A.,0,0,0.0
ai,Harlan County U.S.A.,2,2,1.0
human,Harmony Cats,1,1,-0.0
ai,Harmony Cats,2,4,2.0
human,"He Said, She Said",1,4,2.0
ai,"He Said, She Said",2,6,2.584962500721156
human,Heinous Crime,6,4,1.9709505944546688
ai,Heinous Crime,4,2,0.8112781244591328
human,Hinokio,1,0,0.0
ai,Hinokio,5,2,1.0
human,Holy Smoke,1,1,-0.0
ai,Holy Smoke,3,2,0.9182958340544896
human,Hope Floats,5,3,1.5
ai,Hope Floats,9,7,2.7045348998193437
human,Horror House,9,6,2.2459600998912124
ai,Horror House,4,3,1.5
human,Hot Summer in the City,2,8,3.0
ai,Hot Summer in the City,4,2,0.9182958340544896
human,House of Whipcord,10,8,2.86658710582896
ai,House of Whipcord,4,5,2.321928094887362
human,Idemo dalje,1,0,0.0
ai,Idemo dalje,3,2,0.9182958340544896
