nrc_category,human_tokens,ai_tokens,human_share,ai_share
anger,161,89,0.14439461883408072,0.0956989247311828
fear,178,111,0.15964125560538117,0.11935483870967742
sadness,250,267,0.2242152466367713,0.2870967741935484
disgust,151,71,0.13542600896860987,0.07634408602150537
joy,119,107,0.10672645739910314,0.11505376344086021
trust,104,109,0.09327354260089686,0.11720430107526882
anticipation,92,88,0.08251121076233184,0.09462365591397849
surprise,60,88,0.053811659192825115,0.09462365591397849
