side,movie_title,share_shaver_leaf,share_colloquial,mean_zipf
human,The White Tower,0.0,0.0,5.82
ai,The White Tower,0.0,0.0,3.45
human,The Wicked Lady,0.6666666666666666,0.3333333333333333,4.616666666666667
ai,The Wicked Lady,0.25,0.0,4.56
human,The Zodiac,0.25,0.0,4.3175
ai,The Zodiac,0.0,0.6666666666666666,4.736666666666667
human,They Met in Bombay,0.25,0.0,4.655
ai,They Met in Bombay,0.0,0.3333333333333333,4.586666666666667
human,Three Way,0.0,0.5,4.295
ai,Three Way,0.25,0.25,4.355
human,Thriller: Death in Small Doses,0.3333333333333333,0.3333333333333333,5.136666666666667
ai,Thriller: Death in Small Doses,0.0,0.0,4.317500000000001
human,To Die For,,,
ai,To Die For,0.0,0.0,5.04
human,Tomorrow Never Dies,0.0,0.0,4.99
ai,Tomorrow Never Dies,0.0,1.0,4.44
human,Tooba,0.0,0.0,4.495
ai,Tooba,0.0,0.4,4.412000000000001
human,Touched by Love,0.0,0.0,5.055
ai,Touched by Love,0.2,0.4,4.94
human,Troll 2,0.0,0.0,4.7225
ai,Troll 2,0.0,0.5,4.91
human,Tube Tales,0.5,0.5,4.84
ai,Tube Tales,0.0,0.5,4.8975
human,Turtles Can Fly,0.25,0.0,4.4375
ai,Turtles Can Fly,0.0,0.3333333333333333,4.903333333333333
human,Tushka,,,
ai,Tushka,0.0,0.25,4.7425
human,Two for the Road,0.1666666666666666,0.0,4.941666666666667
ai,Two for the Road,0.0,0.0,4.2875
human,Two Idiots in Hollywood,0.3333333333333333,0.0,5.226666666666667
ai,Two Idiots in Hollywood,0.0,1.0,4.44
human,Under the Boardwalk,0.0,0.25,5.08
ai,Under the Boardwalk,0.0,0.3333333333333333,4.96
human,"Vendetta: No Conscience, No Mercy",0.0,0.3333333333333333,4.786666666666666
ai,"Vendetta: No Conscience, No Mercy",0.0,0.3333333333333333,4.743333333333333
human,Violent Shit III: Infantry of Doom,1.0,0.0,4.46
ai,Violent Shit III: Infantry of Doom,0.3333333333333333,0.3333333333333333,4.6466666666666665
human,Vital,0.3333333333333333,0.0,4.093333333333334
ai,Vital,0.2857142857142857,0.2857142857142857,4.658571428571428
human,Walking Back,0.0,0.0,4.359999999999999
ai,Walking Back,0.0,0.0,4.68
human,Watch Me When I Kill,0.0,0.0,5.06
ai,Watch Me When I Kill,,,
human,Welt Spiegel Kino,,,
ai,Welt Spiegel Kino,0.0,0.0,4.468000000000001
human,When Ocean Meets Sky,0.0,0.0,5.385
ai,When Ocean Meets Sky,0.25,0.25,4.055
human,Where the Lilies Bloom,0.25,0.0,5.13
ai,Where the Lilies Bloom,0.0,0.3333333333333333,4.31
human,Where the Sidewalk Ends,0.0,0.0,5.82
ai,Where the Sidewalk Ends,0.25,0.25,4.9575000000000005
human,Whole New Thing,0.0,0.0,5.12
ai,Whole New Thing,0.2,0.6,4.516
human,Wind River,0.5,0.0,4.535
ai,Wind River,0.1666666666666666,0.3333333333333333,4.128333333333334
human,Witchcraft,0.0,0.0,4.640000000000001
ai,Witchcraft,0.1428571428571428,0.2857142857142857,4.537142857142857
human,Xanadu,0.2,0.0,4.516
ai,Xanadu,0.0,0.0,4.585
human,Xue fu rong,0.0,0.0,4.61
ai,Xue fu rong,0.0,0.3333333333333333,4.93
human,Zatoichi and the Chess Expert,0.0,0.0,4.63
ai,Zatoichi and the Chess Expert,0.0,0.3333333333333333,4.333333333333333
human,Zelary,0.0,0.0,5.82
ai,Zelary,0.4,0.2,4.587999999999999
