side,movie_title,share_shaver_leaf,share_colloquial,mean_zipf
ai,Columbo: Double Exposure,0.0,0.0,4.265000000000001
human,Crimes of the Heart,,,
ai,Crimes of the Heart,0.6666666666666666,0.0,3.9666666666666655
human,Crimetime,0.0,0.5,4.785
ai,Crimetime,0.0,1.0,4.45
human,Crissie Sheridan,0.0,0.0,5.82
ai,Crissie Sheridan,0.0,0.6666666666666666,4.416666666666667
human,Crosswalk,,,
ai,Crosswalk,0.0,0.0,4.46
human,Crystal Voyager,,,
ai,Crystal Voyager,0.0,0.5,4.6
human,Dahshat,0.0,0.0,4.008
ai,Dahshat,0.1428571428571428,0.4285714285714285,4.424285714285714
human,Danmarks sjoveste mand,0.1538461538461538,0.1538461538461538,4.606923076923077
ai,Danmarks sjoveste mand,0.4,0.2,3.998
human,David (I),0.0,0.0,4.95
ai,David (I),0.3333333333333333,0.3333333333333333,4.37
human,Dead Cert,1.0,0.0,4.94
ai,Dead Cert,0.0,0.0,4.635
human,Deadly Dreams,0.4,0.0,4.494
ai,Deadly Dreams,0.0,0.4,4.612
human,Death Wish 3,0.0,0.0,5.24
ai,Death Wish 3,0.0,1.0,4.44
human,Desperation Highway,0.5,0.0,4.175
ai,Desperation Highway,0.0,0.0,4.615
human,Deuces,0.0,0.0,4.275
ai,Deuces,0.0,0.0,5.53
human,"Die Sister, Die!",0.1666666666666666,0.0,4.3966666666666665
ai,"Die Sister, Die!",0.1666666666666666,0.0,4.201666666666667
human,Doctor Zhivago,0.375,0.0,4.848750000000001
ai,Doctor Zhivago,0.0,0.0,4.733333333333333
human,Don't Turn the Other Cheek,0.0,0.0,5.53
ai,Don't Turn the Other Cheek,0.0,1.0,4.44
human,Donnybrook,0.0,0.0,4.779999999999999
ai,Donnybrook,,,
human,Doragon heddo,0.3333333333333333,0.0,4.703333333333333
ai,Doragon heddo,0.25,0.25,5.0425
human,Downfall,0.5,0.0,4.25
ai,Downfall,0.0,0.6666666666666666,4.510000000000001
human,Early to Bed,0.6666666666666666,0.0,3.5400000000000005
ai,Early to Bed,0.0,1.0,4.44
human,El día que me amen,0.0,0.25,4.365
ai,El día que me amen,0.0,0.3333333333333333,4.076666666666667
human,Emmanuelle,0.1818181818181818,0.1818181818181818,4.087272727272727
ai,Emmanuelle,0.3333333333333333,0.6666666666666666,4.45
human,Endless Night (I),0.2666666666666666,0.1333333333333333,4.374
ai,Endless Night (I),0.1666666666666666,0.1666666666666666,4.425
human,Eroica,1.0,0.0,5.44
ai,Eroica,0.0,0.6666666666666666,4.703333333333333
human,Es fing so harmlos an,0.0,0.2,5.082
ai,Es fing so harmlos an,0.0,0.25,4.4675
human,Evilenko,0.25,0.25,4.8225
ai,Evilenko,0.5,0.0,4.705
human,Fat Pizza,0.3333333333333333,0.3333333333333333,5.053333333333334
ai,Fat Pizza,1.0,0.0,4.46
human,Fishing with Gandhi,0.0,0.2,4.416
ai,Fishing with Gandhi,0.0,0.3333333333333333,4.58
human,Fitzcarraldo,0.0,0.0,5.07
ai,Fitzcarraldo,0.0,0.5,4.59
human,"Frank McKlusky, C.I.",0.5714285714285714,0.1428571428571428,4.444285714285714
ai,"Frank McKlusky, C.I.",0.0,0.6666666666666666,4.373333333333334
human,Freeway,0.1111111111111111,0.2222222222222222,5.018888888888889
ai,Freeway,0.0,0.0,5.04
human,From Here to Eternity,0.0,0.0,4.605
ai,From Here to Eternity,0.0,0.0,4.485
human,Fuelin' Around,0.0,0.0,5.82
ai,Fuelin' Around,0.0,0.0,4.39
human,Gabrielle,0.5,0.0,5.630000000000001
ai,Gabrielle,0.0,0.0,4.986666666666667
human,Gallipoli,0.0,0.6666666666666666,4.726666666666667
ai,Gallipoli,0.0,0.0,5.235
human,Gambit,0.0,0.0,4.056
ai,Gambit,0.0,0.5,4.43
human,Gator,0.0,0.0,5.04
ai,Gator,0.0,1.0,4.680000000000001
human,Get Rich or Die Tryin',0.0,0.0,4.330000000000001
ai,Get Rich or Die Tryin',,,
human,Ghost in the Machine,0.0,0.0,4.1625
ai,Ghost in the Machine,0.0,0.2,4.602
human,Graveless,0.0,0.0,5.0
ai,Graveless,0.2857142857142857,0.0,4.1571428571428575
human,Grimm,0.0,0.0,5.1066666666666665
ai,Grimm,0.0,0.6,4.54
human,Gyeolhoneun michinjishida,0.0,0.0,5.28
ai,Gyeolhoneun michinjishida,0.25,0.0,4.6625000000000005
human,Hail the Conquering Hero,,,
ai,Hail the Conquering Hero,0.0,0.5,4.390000000000001
human,Hamlet,0.0,0.3333333333333333,4.653333333333333
ai,Hamlet,0.0,0.0,4.815
human,Harlan County U.S.A.,,,
ai,Harlan County U.S.A.,0.0,0.0,4.95
human,Harmony Cats,0.0,0.0,4.4
ai,Harmony Cats,0.0,0.5,4.985
human,"He Said, She Said",0.0,0.0,4.91
ai,"He Said, She Said",0.0,0.5,4.380000000000001
human,Heinous Crime,0.1,0.3,4.776000000000001
ai,Heinous Crime,0.0,0.25,4.359999999999999
human,Hinokio,1.0,0.0,4.08
ai,Hinokio,0.4,0.0,4.234
human,Holy Smoke,0.0,0.0,5.04
ai,Holy Smoke,0.0,0.3333333333333333,4.516666666666667
human,Hope Floats,0.4,0.0,4.684
ai,Hope Floats,0.3,0.2,4.667
human,Horror House,0.0714285714285714,0.0,4.731428571428572
ai,Horror House,0.0,0.1666666666666666,4.266666666666667
human,Hot Summer in the City,0.0,0.0,5.135
ai,Hot Summer in the City,0.25,0.25,4.19
human,House of Whipcord,0.2,0.1,4.267
ai,House of Whipcord,0.25,0.0,4.5075
human,Idemo dalje,0.0,0.0,5.82
ai,Idemo dalje,0.0,0.3333333333333333,4.680000000000001
human,Il siero della vanità,0.0,0.0,5.125
ai,Il siero della vanità,0.0,0.0,4.503333333333333
human,In God We Trust (or Gimme That Prime Time Religion),0.0,0.0,4.42
ai,In God We Trust (or Gimme That Prime Time Religion),0.0,1.0,4.755
human,In the Mood for Love,0.5,0.5,4.44
